menu,total_calories,total_protein,total_fat,total_carb,protein_ratio,fat_ratio,carb_ratio,goal
Đậu hũ chiên (102g) + Ức gà nướng (93g) + Thịt bò xào hành (116g),590.3,67.2,29.9,7.6,0.455,0.456,0.051,không_phù_hợp
Trứng luộc (43g) + Salad rau củ (145g),144.4,7.4,9.4,7.3,0.205,0.586,0.202,không_phù_hợp
Ức gà nướng (110g) + Đậu hũ chiên (90g) + Trứng luộc (41g),375.1,46.5,16.4,4.1,0.496,0.393,0.044,giữ_cân
Sữa tươi không đường (242g) + Thịt bò xào hành (98g),295.8,29.6,15.9,9.0,0.4,0.484,0.122,không_phù_hợp
Bông cải xanh hấp (92g) + Cơm gạo lứt (118g),181.6,6.5,1.6,37.3,0.143,0.079,0.822,tăng_cân
Ức gà nướng (100g) + Đậu hũ chiên (96g) + Salad rau củ (123g),368.8,40.3,16.3,9.6,0.437,0.398,0.104,giữ_cân
Trà gừng mật ong (248g) + Cá hồi áp chảo (70g) + Trứng luộc (63g),292.1,23.3,15.8,13.2,0.319,0.487,0.181,không_phù_hợp
Trứng luộc (57g) + Trà gừng mật ong (197g) + Cá hồi áp chảo (90g),313.7,27.0,17.7,10.5,0.344,0.508,0.134,không_phù_hợp
Cháo yến mạch (237g) + Đậu hũ chiên (81g),294.4,12.4,10.8,35.2,0.168,0.33,0.478,không_phù_hợp
Salad rau củ (194g) + Cá hồi áp chảo (120g),350.7,29.0,22.1,9.1,0.331,0.567,0.104,không_phù_hợp
Khoai lang luộc (78g) + Cháo yến mạch (160g) + Thịt bò xào hành (113g),469.6,34.6,19.4,40.6,0.295,0.372,0.346,giữ_cân
Trà gừng mật ong (185g) + Khoai lang luộc (105g) + Đậu hũ chiên (101g),272.7,9.8,9.2,34.3,0.144,0.304,0.503,tăng_cân
Trứng luộc (54g) + Canh bí đỏ (255g) + Đậu hũ chiên (106g),300.6,16.6,17.2,16.4,0.221,0.515,0.218,không_phù_hợp
Đậu hũ chiên (110g) + Cơm gạo lứt (90g) + Canh bí đỏ (171g),301.1,12.0,12.0,32.8,0.159,0.359,0.436,không_phù_hợp
Cháo yến mạch (221g) + Bông cải xanh hấp (87g) + Trái chuối (123g),323.1,10.1,4.2,67.7,0.125,0.117,0.838,không_phù_hợp
Bông cải xanh hấp (103g) + Ức gà nướng (84g),195.2,29.9,3.6,11.3,0.613,0.166,0.232,giảm_mỡ
Khoai lang luộc (106g) + Canh bí đỏ (228g) + Sữa tươi không đường (146g),178.8,5.3,2.5,35.1,0.119,0.126,0.785,không_phù_hợp
Salad rau củ (119g) + Đậu hũ chiên (85g) + Khoai lang luộc (124g),292.5,10.4,11.7,33.8,0.142,0.36,0.462,không_phù_hợp
Cơm gạo lứt (89g) + Bông cải xanh hấp (98g) + Đậu hũ chiên (123g),329.8,15.8,12.5,36.2,0.192,0.341,0.439,giữ_cân
Bông cải xanh hấp (75g) + Khoai lang luộc (100g),127.2,4.4,0.5,28.2,0.138,0.035,0.887,không_phù_hợp
Sữa tươi không đường (168g) + Cháo yến mạch (241g),216.0,8.9,4.5,36.7,0.165,0.188,0.68,tăng_cân
Ức gà nướng (97g) + Salad rau củ (118g) + Cháo yến mạch (220g),388.0,37.1,10.7,35.2,0.382,0.248,0.363,giảm_cân
Canh bí đỏ (156g) + Cháo yến mạch (150g),151.5,4.5,3.4,27.3,0.119,0.202,0.721,không_phù_hợp
Trà gừng mật ong (200g) + Cơm gạo lứt (103g),154.3,2.7,0.9,33.7,0.07,0.052,0.874,không_phù_hợp
Thịt bò xào hành (82g) + Đậu hũ chiên (117g),373.5,30.7,22.8,7.1,0.329,0.549,0.076,không_phù_hợp
Salad rau củ (166g) + Thịt bò xào hành (92g),318.5,26.1,19.3,10.5,0.328,0.545,0.132,không_phù_hợp
Đậu hũ chiên (119g) + Salad rau củ (117g),233.8,11.1,14.6,10.2,0.19,0.562,0.175,không_phù_hợp
Trà gừng mật ong (215g) + Thịt bò xào hành (92g) + Trái chuối (93g),355.8,24.9,14.1,34.9,0.28,0.357,0.392,giữ_cân
Sữa tươi không đường (168g) + Khoai lang luộc (81g) + Canh bí đỏ (256g),168.9,5.4,2.8,31.9,0.128,0.149,0.755,không_phù_hợp
Đậu hũ chiên (130g) + Cá hồi áp chảo (120g) + Khoai lang luộc (82g),504.9,38.1,27.4,21.6,0.302,0.488,0.171,không_phù_hợp
Đậu hũ chiên (78g) + Đậu phộng rang (25g) + Bông cải xanh hấp (92g),296.3,15.5,19.2,18.2,0.209,0.583,0.246,không_phù_hợp
Trái chuối (70g) + Cháo yến mạch (143g) + Salad rau củ (145g),246.9,6.3,7.2,42.2,0.102,0.262,0.684,không_phù_hợp
Canh bí đỏ (245g) + Khoai lang luộc (129g) + Bông cải xanh hấp (79g),215.6,6.2,2.4,45.5,0.115,0.1,0.844,không_phù_hợp
Cơm gạo lứt (80g) + Trà gừng mật ong (216g) + Ức gà nướng (113g),318.4,37.1,4.8,29.2,0.466,0.136,0.367,giảm_mỡ
Trứng luộc (59g) + Cá hồi áp chảo (112g) + Cháo yến mạch (176g),454.8,36.5,23.5,24.5,0.321,0.465,0.215,không_phù_hợp
Salad rau củ (139g) + Bông cải xanh hấp (90g) + Cháo yến mạch (248g),309.6,11.4,8.9,49.9,0.147,0.259,0.645,tăng_cân
Trái chuối (98g) + Salad rau củ (174g) + Ức gà nướng (81g),313.7,28.5,9.0,30.7,0.363,0.258,0.391,tăng_cơ
Trái chuối (90g) + Cơm gạo lứt (114g) + Bông cải xanh hấp (130g),278.1,8.8,2.1,61.2,0.127,0.068,0.88,không_phù_hợp
Cháo yến mạch (186g) + Trà gừng mật ong (242g) + Bông cải xanh hấp (101g),243.4,8.4,3.4,48.3,0.138,0.126,0.794,không_phù_hợp
Trứng luộc (63g) + Thịt bò xào hành (81g),300.8,29.0,18.8,3.2,0.386,0.562,0.043,không_phù_hợp
Đậu phộng rang (29g) + Trái chuối (91g) + Trà gừng mật ong (229g),281.5,7.8,13.8,38.2,0.111,0.441,0.543,không_phù_hợp
Trứng luộc (61g) + Salad rau củ (178g),190.1,10.1,12.4,9.0,0.213,0.587,0.189,không_phù_hợp
Salad rau củ (189g) + Cá hồi áp chảo (83g),271.8,20.8,17.1,8.8,0.306,0.566,0.13,không_phù_hợp
Salad rau củ (189g) + Đậu phộng rang (23g),223.5,7.9,17.0,13.4,0.141,0.685,0.24,không_phù_hợp
Thịt bò xào hành (117g) + Salad rau củ (140g),367.2,32.3,22.2,10.0,0.352,0.544,0.109,không_phù_hợp
Trái chuối (91g) + Đậu phộng rang (29g) + Trà gừng mật ong (255g),286.7,7.8,13.8,39.5,0.109,0.433,0.551,không_phù_hợp
Cá hồi áp chảo (119g) + Đậu phộng rang (24g),373.1,31.8,26.7,4.8,0.341,0.644,0.051,không_phù_hợp
Cơm gạo lứt (92g) + Thịt bò xào hành (75g),289.6,21.9,12.1,23.4,0.302,0.376,0.323,giữ_cân
Đậu phộng rang (22g) + Khoai lang luộc (127g) + Cơm gạo lứt (80g),315.4,9.2,11.1,48.2,0.117,0.317,0.611,không_phù_hợp
Trà gừng mật ong (233g) + Đậu hũ chiên (112g) + Canh bí đỏ (219g),262.6,10.1,11.7,26.0,0.154,0.401,0.396,không_phù_hợp
Canh bí đỏ (205g) + Đậu phộng rang (23g),173.9,6.4,12.3,13.8,0.147,0.637,0.317,không_phù_hợp
Trái chuối (75g) + Trứng luộc (45g),136.9,6.5,5.0,17.8,0.19,0.329,0.52,tăng_cân
Đậu phộng rang (21g) + Sữa tươi không đường (253g),165.1,9.2,11.1,10.5,0.223,0.605,0.254,không_phù_hợp
Ức gà nướng (95g) + Đậu hũ chiên (130g),344.0,39.9,15.1,5.2,0.464,0.395,0.06,giữ_cân
Canh bí đỏ (233g) + Đậu phộng rang (21g),170.2,6.1,11.5,14.7,0.143,0.608,0.345,không_phù_hợp
Thịt bò xào hành (92g) + Cơm gạo lứt (99g) + Ức gà nướng (97g),499.9,56.6,18.2,25.5,0.453,0.328,0.204,giữ_cân
Bông cải xanh hấp (114g) + Cháo yến mạch (260g) + Trứng luộc (51g),337.3,17.1,10.0,48.3,0.203,0.267,0.573,tăng_cân
Salad rau củ (109g) + Sữa tươi không đường (153g),90.3,4.1,4.4,8.9,0.182,0.439,0.394,không_phù_hợp
Trái chuối (118g) + Khoai lang luộc (84g) + Cháo yến mạch (201g),328.0,7.7,3.5,71.1,0.094,0.096,0.867,không_phù_hợp
Trà gừng mật ong (161g) + Cá hồi áp chảo (114g) + Sữa tươi không đường (211g),311.3,28.7,15.9,13.3,0.369,0.46,0.171,không_phù_hợp
Sữa tươi không đường (182g) + Trà gừng mật ong (237g),85.6,3.1,0.9,16.4,0.145,0.095,0.766,tăng_cân
Bông cải xanh hấp (79g) + Khoai lang luộc (111g) + Canh bí đỏ (230g),196.4,5.8,2.3,41.2,0.118,0.105,0.839,không_phù_hợp
Trứng luộc (57g) + Trà gừng mật ong (215g),131.9,7.2,6.0,11.4,0.218,0.409,0.346,không_phù_hợp
Cơm gạo lứt (89g) + Trà gừng mật ong (212g) + Canh bí đỏ (192g),189.2,3.3,2.2,39.7,0.07,0.105,0.839,không_phù_hợp
Cơm gạo lứt (124g) + Trứng luộc (46g) + Bông cải xanh hấp (76g),251.2,11.8,6.4,37.4,0.188,0.229,0.596,tăng_cân
Khoai lang luộc (87g) + Đậu phộng rang (37g),272.2,10.0,17.4,24.8,0.147,0.575,0.364,không_phù_hợp
Bông cải xanh hấp (92g) + Trứng luộc (63g) + Ức gà nướng (129g),361.7,51.3,11.9,10.9,0.567,0.296,0.121,giảm_cân
Cá hồi áp chảo (123g) + Canh bí đỏ (150g) + Trứng luộc (64g),390.7,35.9,23.9,7.5,0.368,0.551,0.077,không_phù_hợp
Thịt bò xào hành (91g) + Bông cải xanh hấp (122g),294.6,28.2,14.4,16.1,0.383,0.44,0.219,không_phù_hợp
Cháo yến mạch (141g) + Đậu phộng rang (26g) + Trứng luộc (35g),299.0,14.0,18.0,24.7,0.187,0.542,0.33,không_phù_hợp
Sữa tươi không đường (238g) + Thịt bò xào hành (89g),272.5,27.2,14.5,8.6,0.399,0.479,0.126,không_phù_hợp
Ức gà nướng (112g) + Sữa tươi không đường (220g) + Trứng luộc (59g),323.0,45.9,11.4,6.2,0.568,0.318,0.077,giữ_cân
Khoai lang luộc (104g) + Bông cải xanh hấp (108g),148.8,5.7,0.8,32.7,0.153,0.048,0.879,tăng_cân
Canh bí đỏ (175g) + Trứng luộc (60g) + Đậu hũ chiên (121g),311.6,18.1,18.6,13.4,0.232,0.537,0.172,không_phù_hợp
Sữa tươi không đường (253g) + Salad rau củ (138g) + Cơm gạo lứt (96g),233.3,8.6,6.7,34.8,0.147,0.258,0.597,tăng_cân
Trà gừng mật ong (246g) + Trứng luộc (64g),149.0,8.1,6.8,13.1,0.217,0.411,0.352,không_phù_hợp
Cơm gạo lứt (70g) + Đậu hũ chiên (92g),210.2,9.2,8.9,19.8,0.175,0.381,0.377,không_phù_hợp
Trái chuối (96g) + Cơm gạo lứt (74g) + Canh bí đỏ (224g),223.6,4.1,2.6,49.2,0.073,0.105,0.88,không_phù_hợp
Khoai lang luộc (107g) + Trứng luộc (35g) + Cháo yến mạch (197g),294.4,11.0,6.8,48.4,0.149,0.208,0.658,tăng_cân
Đậu phộng rang (38g) + Cá hồi áp chảo (73g),353.0,24.9,27.2,7.6,0.282,0.693,0.086,không_phù_hợp
Khoai lang luộc (84g) + Trà gừng mật ong (192g),110.6,1.3,0.1,26.4,0.047,0.008,0.955,không_phù_hợp
Salad rau củ (168g) + Trái chuối (90g),169.7,3.2,5.9,28.5,0.075,0.313,0.672,không_phù_hợp
Thịt bò xào hành (100g) + Trái chuối (104g),342.6,27.1,15.3,26.9,0.316,0.402,0.314,không_phù_hợp
Canh bí đỏ (158g) + Sữa tươi không đường (169g) + Trứng luộc (58g),165.5,11.0,8.2,12.0,0.266,0.446,0.29,không_phù_hợp
Bông cải xanh hấp (124g) + Trái chuối (98g),155.4,5.7,1.0,36.2,0.147,0.058,0.932,tăng_cân
Cháo yến mạch (171g) + Sữa tươi không đường (249g) + Ức gà nướng (84g),319.1,34.5,6.8,29.3,0.432,0.192,0.367,giảm_mỡ
Bông cải xanh hấp (105g) + Cháo yến mạch (255g) + Trứng luộc (36g),305.2,14.8,8.3,46.4,0.194,0.245,0.608,tăng_cân
Trà gừng mật ong (199g) + Cá hồi áp chảo (78g) + Khoai lang luộc (110g),295.1,18.9,10.2,31.9,0.256,0.311,0.432,giữ_cân
Khoai lang luộc (105g) + Ức gà nướng (80g) + Cháo yến mạch (213g),382.1,31.8,6.2,49.8,0.333,0.146,0.521,tăng_cơ
Ức gà nướng (92g) + Đậu hũ chiên (93g) + Đậu phộng rang (21g),397.7,40.9,21.5,7.9,0.411,0.487,0.079,không_phù_hợp
Khoai lang luộc (73g) + Đậu phộng rang (24g),190.8,6.8,11.3,19.4,0.143,0.533,0.407,không_phù_hợp
Cơm gạo lứt (117g) + Sữa tươi không đường (219g) + Salad rau củ (139g),250.0,8.6,6.8,38.9,0.138,0.245,0.622,không_phù_hợp
Bông cải xanh hấp (126g) + Canh bí đỏ (212g) + Salad rau củ (148g),201.2,7.7,7.3,30.3,0.153,0.327,0.602,tăng_cân
Sữa tươi không đường (214g) + Ức gà nướng (110g) + Trứng luộc (45g),296.6,43.4,9.8,5.9,0.585,0.297,0.08,giảm_cân
Trà gừng mật ong (192g) + Sữa tươi không đường (250g) + Ức gà nướng (92g),242.7,32.8,4.6,15.8,0.541,0.171,0.26,giảm_mỡ
Ức gà nướng (105g) + Sữa tươi không đường (164g),207.7,35.3,4.6,4.1,0.68,0.199,0.079,giảm_mỡ
Trái chuối (121g) + Cá hồi áp chảo (86g),284.9,20.3,11.5,27.8,0.285,0.363,0.39,giữ_cân
Trứng luộc (45g) + Cá hồi áp chảo (124g),325.6,33.0,20.9,0.5,0.405,0.578,0.006,không_phù_hợp
Cá hồi áp chảo (101g) + Đậu hũ chiên (78g),320.4,28.5,20.2,3.1,0.356,0.567,0.039,không_phù_hợp
Sữa tươi không đường (220g) + Cá hồi áp chảo (102g),256.3,26.2,14.4,5.5,0.409,0.506,0.086,không_phù_hợp
Bông cải xanh hấp (122g) + Canh bí đỏ (258g),131.6,5.8,2.7,25.0,0.176,0.185,0.76,tăng_cân
Đậu hũ chiên (102g) + Bông cải xanh hấp (87g),194.7,11.4,9.7,13.7,0.234,0.448,0.281,không_phù_hợp
Cá hồi áp chảo (122g) + Thịt bò xào hành (111g) + Trứng luộc (55g),614.6,62.6,38.3,4.0,0.407,0.561,0.026,không_phù_hợp
Ức gà nướng (100g) + Cá hồi áp chảo (83g) + Trà gừng mật ong (206g),377.2,49.3,14.4,10.3,0.523,0.344,0.109,giữ_cân
